Hot Peppers,,,,
Ingredients,,,,
Manufacturers,,,,
Recipes,,,,
Cultivars,,,,
Reviews,,,,
Flavors,,,,
Hot Pepper Common Name ↕,Avg SHU ↕,# of Recipes ↕,Origin Country,Cultivar
Demre Pepper,"50,000",0,Turkey,Capsicum Annuum
Desi Teekhi Pepper,"16,500",0,India,Capsicum Annuum
Devil's Tongue - Chocolate Pepper,"2,25,000",0,United States of America,Capsicum Chinense
Devil's Tongue - Red Pepper,"4,50,000",0,United States of America,Capsicum Chinense
Devil's Tongue - Yellow Pepper,"4,00,000",0,United States of America,Capsicum Chinense
Devil's Tongue Pepper,"4,63,500",2,United States of America,Capsicum Chinense
Dhanraj Pepper,"5,000",0,India,Capsicum Annuum
Diablo Grande Pepper,"80,000",0,Chile,Capsicum Annuum
Diced Green Bell Peppers,N/A,1,Mexico,
Dieng Plateau Pepper,"30,000",0,Indonesia,Capsicum Frutescens
Diente De Perro Pepper,"48,000",0,Guatemala,Capsicum Frutescens
Domestic Peppers,N/A,1,Mexico,
Dong Xuan Pepper,"50,000",0,Vietnam,Capsicum Annuum
Dorset Naga Pepper,"9,23,000",0,Bangladesh,Capsicum Chinense
Dragon's Breath Pepper,"24,80,000",1,United Kingdom,Capsicum Chinense
Dried Chilies Pepper,N/A,3,,
Dried New Mexican Chiles Pepper,"70,000",1,Mexico,Capsicum Annuum
Dried New Mexican Red Chiles Pepper,"70,000",2,Mexico,Capsicum Annuum
Dried Red Chiles Pepper,"40,000",3,,
Dundicut Pepper,"70,000",0,Pakistan,Capsicum Annuum
Dunso Pepper,"27,500",0,Turkey,Capsicum Annuum
Dutch Red Pepper,"2,000",0,Indonesia,Capsicum Annuum
Earbob Pepper,"10,000",0,United States of America,Capsicum Baccatum
Ecuador Hot Pepper,"1,86,000",0,Ecuador,Capsicum Annuum
Espanola Pepper,"1,250",0,United States of America,Capsicum Annuum
Espelette Pepper,"4,000",0,France,Capsicum Annuum
Etna Peppers,"65,000",0,Thailand,Capsicum Annuum
Eximium Pepper,N/A,0,Bolivia,Capsicum Eximium
Explosive Ember Pepper,"40,000",0,,Capsicum Annuum
Extra Aged Avery Island Tabasco Peppers,"40,000",2,Mexico,Capsicum Frutescens
Extra Hot Green Pepper,N/A,1,,
False Alarm Pepper,50,0,United States of America,Capsicum Annuum
Faria Pepper,"50,000",0,Trinidad and Tobago,Capsicum Chinense
Fatalii Pepper,"2,25,000",6,Central African Republic,Capsicum Chinense
Fatalii Pepper (Yellow),"2,25,000",1,Central African Republic,Capsicum Chinense
Fatalii Pepper Mash,"2,25,000",1,South Africa,Capsicum Chinense
Fatalii Pepper Seeds (Yellow),"2,25,000",1,South Africa,Capsicum Chinense
Fermented Red Chilis Pepper,N/A,1,,
Fiery Cayenne Chilies Pepper,"40,000",1,French Guiana,Capsicum Annuum
Fiji Hot Pepper,"40,000",0,Fiji,Capsicum Chinense
Fijian Bongo Chilli Pepper,"3,50,000",2,Fiji,
Filius Blue Pepper,"50,000",0,United States of America,Capsicum Annuum
Finely Ground Pure Naga Bhut Jolokia Peppers,"10,41,427",1,India,Capsicum Chinense Capsicum Frutescens
Fire Roasted Green Chiles Pepper,N/A,4,,
Fire Roasted Jalapenos Pepper,N/A,7,Mexico,Capsicum Annuum
Fire Roasted Orange Habanero Peppers,"2,25,000",1,Mexico,Capsicum Chinense
Fire Roasted Serrano Peppers,"16,500",1,Mexico,
Fish Pepper,"17,500",0,Dominican Republic,Capsicum Annuum
Floral Gem Pepper,"3,000",0,United States of America,Capsicum Annuum
Fluorescent Purple Pepper,"37,500",0,United States of America,Capsicum Annuum
Fresno Chili Pepper,"6,250",8,United States of America,Capsicum Annuum
Frutka Pepper,500,0,Hungary,Capsicum Annuum
Georgescu Chocolate Pepper,0,0,Romania,Capsicum Annuum
Georgia Flame Pepper,"1,250",0,United States of America,Capsicum Annuum
Ghost Chile Peppers,"10,41,427",5,India,Capsicum Chinense Capsicum Frutescens
Ghost Chile Peppers (Ground),"10,41,427",1,India,Capsicum Chinense Capsicum Frutescens
Ghost Pepper,"10,41,427",49,India,Capsicum Chinense Capsicum Frutescens
Ghost Pepper (Chocolate),"10,41,427",2,India,
Ghost Pepper (Dried),"10,41,427",10,India,Capsicum Chinense Capsicum Frutescens
Ghost Pepper (Organic),"10,41,427",1,India,Capsicum Chinense Capsicum Frutescens
Ghost Pepper (Powder),"10,41,427",6,India,Capsicum Chinense Capsicum Frutescens
Ghost Pepper (Red),"10,41,427",1,India,
Ghost Pepper (Smoked),"10,41,427",2,India,
Ghost Pepper Mash,"10,41,427",4,India,Capsicum Chinense Capsicum Frutescens
Ghost Pepper Seeds,"10,41,427",1,India,Capsicum Chinense Capsicum Frutescens
Gibraltar / Spanish Naga Chili Pepper,"10,86,844",0,Spain,Capsicum Chinense
Goat Horn Pepper,"35,000",0,Thailand,
Gochugaru Chile Flakes Pepper,"1,500",1,South Korea,Capsicum Annuum
Gochugaru Chile Powder Pepper,N/A,1,South Korea,
Gochujang Chilli Pepper,N/A,3,South Korea,
Golden Heat Pepper,"4,500",0,United States of America,
Green Chiles Pepper,N/A,8,Mexico,
Green Chilli Pepper,N/A,4,,
Green Habanero Pepper,"2,25,000",12,Brazil,
Green Jalapeno Chile Peppers,"3,750",1,Mexico,Capsicum Annuum
Green Peppercorn,N/A,1,India,
Green Peppers,N/A,4,,
Ground Chiles Pepper,N/A,4,,
Ground Chipotle Chile Pepper,N/A,1,Mexico,
Ground Red Pepper,N/A,1,,
Guajillo Chilli Pepper,"3,750",4,Mexico,
Guajillo Peppers,"3,750",3,Mexico,Capsicum Annuum
Guindilla Pepper,"1,500",0,Spain,
Guntur Chili Pepper,"1,90,000",0,India,
Guntur Sannam Chile Pepper,"37,500",0,India,
Guyana Pepper (Wiri Wiri),"2,25,000",0,Guyana,
Gypsy Pepper,0,0,United States of America,Capsicum Annuum
Habanada Pepper,0,0,United States of America,Capsicum Chinense
Habanaga Pepper,"6,50,000",0,United States of America,Capsicum Chinense
Habanero (Gambia) Pepper,"2,50,000",0,Brazil,
Habanero (Pickled) Pepper,"2,25,000",1,Brazil,Capsicum Chinense
Habanero Chile Pepper,"2,25,000",35,Brazil,
Habanero Chili Pepper (Pods),"2,25,000",1,Mexico,Capsicum Chinense
Habanero Chilli Pepper,N/A,6,Brazil,
Habanero Infused Pepper,"2,25,000",1,Brazil,
Habanero Mash Pepper,N/A,15,Brazil,
Habanero Pepper,"2,25,000",420,Brazil,
Habanero Pepper (Caribbean Red),"3,87,500",1,Brazil,
Habanero Pepper (Chocolate),"4,38,500",4,Brazil,
Habanero Pepper (Dehydrated),"2,25,000",1,Mexico,Capsicum Chinense
Habanero Pepper (Fire Roasted),N/A,7,Brazil,
Habanero Pepper (Golden),"2,37,500",1,Brazil,
Habanero Pepper (Ground),"2,25,000",4,Mexico,
Habanero Pepper (Mustard),"2,37,500",0,Brazil,
Habanero Pepper (Orange),"2,25,000",17,Brazil,
Habanero Pepper (Peach),"2,50,000",0,Brazil,
Habanero Pepper (Peruvian White),"2,25,000",0,Brazil,
Habanero Pepper (Powder),"3,00,000",10,Brazil,
Habanero Pepper (Pulp),"2,25,000",1,Mexico,Capsicum Chinense
Habanero Pepper (Red Ripe),"2,25,000",4,Mexico,Capsicum Chinense
Habanero Pepper (Red Savina),"3,90,000",8,Brazil,
Habanero Pepper (Red),N/A,76,Brazil,
Habanero Pepper (Ripe),"2,25,000",1,Mexico,Capsicum Chinense
Habanero Pepper (Roasted),"2,25,000",2,Mexico,Capsicum Chinense
Habanero Pepper (Roatan Pumpkin),"3,00,000",0,Brazil,
Habanero Pepper (Select Red),"2,25,000",4,Mexico,Capsicum Chinense
Habanero Pepper (Smoked Powder),"2,25,000",2,Mexico,Capsicum Chinense
Habanero Pepper (Smoked),N/A,10,Brazil,
Habanero Pepper (Tigerpaw-Nr),"3,07,500",0,Brazil,
Habanero Pepper (White Bullet),"3,25,000",0,Brazil,
Habanero Pepper (Yellow),"2,25,000",6,Mexico,Capsicum Chinense
Habanero Pepper (Yucatan White),"3,50,000",0,Mexico,
Habanero Pepper (Yucatan),"2,25,000",1,Mexico,Capsicum Chinense
